feature,mean,median,variance,std_dev,min,max,skewness,kurtosis
trace_mean,0.20861980319023132,0.14639541506767273,0.04004239663481712,0.2001059651374817,-0.1588197648525238,0.8670896887779236,0.5258917808532715,-0.8130378127098083
trace_median,0.08838213235139847,0.08646427094936371,0.009228250943124294,0.09606378525495529,-0.25080832839012146,0.3631095290184021,-0.021291954442858696,-0.23308250308036804
trace_variance,1.9051016569137573,1.2241491079330444,1.3956317901611328,1.1813685894012451,0.7953585386276245,6.895946502685547,1.3982491493225098,1.3999738693237305
trace_std,1.3250867128372192,1.106412649154663,0.1493397355079651,0.38644498586654663,0.8918287754058838,2.6260135173797607,0.9924400448799133,-0.04216063767671585
trace_min,-2.819575309753418,-2.7668957710266113,0.16300274431705475,0.4037359952926636,-4.997845649719238,-1.8621516227722168,-0.7156956195831299,1.0172911882400513
trace_max,5.257767200469971,3.903290271759033,7.797562122344971,2.7924115657806396,2.0235753059387207,13.913766860961914,0.7730298638343811,-0.5992583632469177
trace_skewness,0.8187841773033142,0.29777073860168457,0.8869304060935974,0.9417698383331299,-0.3918515741825104,2.9540696144104004,0.5624551773071289,-1.1929570436477661
trace_kurtosis,2.1650688648223877,0.52757728099823,7.512734889984131,2.740936756134033,-0.6839897632598877,10.111686706542969,0.8433102369308472,-0.6414790153503418
trace_energy,1.9886410236358643,1.2338920831680298,1.6544235944747925,1.2862440347671509,0.7953615188598633,7.533059597015381,1.3974696397781372,1.3990808725357056
trace_peak_to_peak,8.077342987060547,6.860870361328125,7.939393997192383,2.817692995071411,4.514214515686035,16.889272689819336,0.7647257447242737,-0.5531622767448425
trace_q25,-0.615351676940918,-0.6178160905838013,0.008286832831799984,0.09103204309940338,-0.9067772030830383,-0.3716079890727997,-0.006380215287208557,-0.16470912098884583
trace_q75,0.8250846862792969,0.816348671913147,0.01844734512269497,0.13582099974155426,0.4668569564819336,1.235419511795044,0.10649622976779938,-0.66172856092453
cipher_mean,127.9723046875,128.0625,253.86227799692924,15.933056141146595,81.0625,171.625,-0.07581611870967822,-0.0006240446021026358
cipher_variance,5273.025775146484,5301.359375,1266029.7804679454,1125.1798880481047,941.359375,8979.27734375,0.07612736494755672,0.3074456773979408
cipher_std,72.18216166992737,72.81043452006038,62.80056215429844,7.924680571120734,30.681580386283883,94.75904887529211,-0.3848670351633355,1.1618385964137907
cipher_entropy,4.410414767087562,4.269454882778696,0.22509064792313496,0.474437190704033,3.6249999999999996,5.0,-0.0043059087700335645,-1.879499220816991
cipher_unique_ratio,0.08908935546875,0.080078125,0.000819883883334906,0.02863361456985314,0.05078125,0.125,0.03114266766816747,-1.9312977870927672
cipher_max_symbol_prob,0.073515625,0.0625,0.0007555930952939337,0.02748805368326273,0.03125,0.1875,1.2380150602734061,0.802462682563692
cipher_zero_ratio,0.0046875,0.0,0.00021253517823639775,0.014578586290734701,0.0,0.09375,3.182352439453942,9.274878320220743
cipher_adjacent_equal_ratio,0.004092741935483871,0.0,0.00018302566510416566,0.013528697834757256,0.0,0.06451612903225806,3.4352416489404685,11.158618414173095
cipher_autocorr1,-0.053294255617010504,-0.06537363972894987,0.04609207520609638,0.21469065002020088,-0.6560183105490798,0.5258235820446414,0.21284282623257872,-0.11129474229809766
