feature,variance,mutual_information,statistical_rank_score
cipher_variance,1266029.7804679454,0.2973634301450305,0.685846247637085
cipher_entropy,0.22509064792313496,0.6934597782161788,0.5500000799407941
cipher_unique_ratio,0.000819883883334906,0.6934597782161788,0.550000000225573
trace_std,0.1493397355079651,0.6127113864160418,0.4859565181415932
trace_variance,1.3956317901611328,0.6126988077955466,0.48594698471279735
trace_energy,1.6544235944747925,0.6061698701917055,0.48076881575952585
trace_skewness,0.8869304060935974,0.6029021708965165,0.4781768503073109
trace_max,7.797562122344971,0.5873358101509061,0.46583324320223685
trace_mean,0.04004239663481712,0.5676694358847547,0.4502326008929058
trace_peak_to_peak,7.939393997192383,0.5549965874090912,0.44018426094353047
trace_kurtosis,7.512734889984131,0.5441650225427479,0.43159332888295265
trace_q75,0.01844734512269497,0.34869125102157295,0.2765556108485321
cipher_std,62.80056215429844,0.2971194876593115,0.23567509273847984
cipher_autocorr1,0.04609207520609638,0.2849136224503881,0.22597201537262468
cipher_mean,253.86227799692924,0.26459137516446063,0.20994415829415913
cipher_max_symbol_prob,0.0007555930952939337,0.1885413269198053,0.14953676219494566
trace_median,0.009228250943124294,0.12790302578868706,0.1014430376829379
cipher_adjacent_equal_ratio,0.00018302566510416566,0.054492765057950754,0.04321955176538956
trace_q25,0.008286832831799984,0.04128386221845637,0.03274324904032703
cipher_zero_ratio,0.00021253517823639775,0.03934079413891656,0.03120215110284494
trace_min,0.16300274431705475,0.0,5.7872946224763065e-08
